PI,%S,%FA,M,A/B,Na/Al,Si/Al, UCS
14.07,8,0,15,0.85,1.98,1.49,1.2167
14.07,4,0,15,0.85,1.98,1.49,0.0708
14.07,0,20,12,0.45,0.82,2.49,0.1174
14.07,0,16,12,0.45,0.82,2.49,0.1099
14.07,0,12,12,0.45,0.82,2.49,0.0849
14.07,0,8,12,0.45,0.82,2.49,0.0169
14.07,0,4,12,0.45,0.82,2.49,0
14.07,0,20,12,0.65,1.18,2.49,0.2107
14.07,0,16,12,0.65,1.18,2.49,0.197
14.07,0,12,12,0.65,1.18,2.49,0.1689
14.07,0,8,12,0.65,1.18,2.49,0.1103
14.07,0,4,12,0.65,1.18,2.49,0
14.07,0,20,12,0.85,1.55,2.49,0.2293
14.07,0,16,12,0.85,1.55,2.49,0.2241
14.07,0,12,12,0.85,1.55,2.49,0.1868
14.07,0,8,12,0.85,1.55,2.49,0.1555
14.07,0,4,12,0.85,1.55,2.49,0
14.07,0,20,15,0.45,0.93,2.49,0.1954
14.07,0,16,15,0.45,0.93,2.49,0.1232
14.07,0,12,15,0.45,0.93,2.49,0.08
14.07,0,8,15,0.45,0.93,2.49,0.039
14.07,0,4,15,0.45,0.93,2.49,0
14.07,0,20,15,0.65,1.34,2.49,0.1852
14.07,0,16,15,0.65,1.34,2.49,0.1819
14.07,0,12,14.5,0.65,1.34,2.49,0.18
14.07,0,8,14.5,0.65,1.34,2.49,0.127
14.07,0,4,14.5,0.65,1.34,2.49,0
14.07,0,20,14.5,0.85,1.75,2.49,0.189
14.07,0,16,14.5,0.85,1.75,2.49,0.17
14.07,0,12,14.5,0.85,1.75,2.49,0.163
14.07,0,8,14.5,0.85,1.75,2.49,0.12
14.07,0,4,14.5,0.85,1.75,2.49,0
14.07,8,12,12,0.65,0.49,2.12,5.855
14.07,6,10,12,0.65,0.49,2.12,2.597
14.07,5,7,12,0.65,0.49,2.12,0.12
14.07,3,5,12,0.65,0.49,2.12,0.097
14.07,2,2,12,0.65,0.49,2.12,0.053
14.07,8,12,14.5,0.65,0.56,2.12,4.899
14.07,6,10,14.5,0.65,0.56,2.12,3.41
14.07,5,7,14.5,0.65,0.56,2.12,0.604
14.07,3,5,14.5,0.65,0.56,2.12,0.096
14.07,2,2,14.5,0.65,0.56,2.12,0.074
14.07,12,8,12,0.65,0.76,1.92,7.346
14.07,10,6,12,0.65,0.76,1.92,6.191
14.07,7,5,12,0.65,0.76,1.92,0.348
14.07,5,3,12,0.65,0.76,1.92,0.144
14.07,2,2,12,0.65,0.76,1.92,0.045
14.07,12,8,14.5,0.65,0.86,1.92,9.562
14.07,10,6,14.5,0.65,0.86,1.92,8.595
14.07,7,5,14.5,0.65,0.86,1.92,0.971
14.07,5,3,14.5,0.65,0.86,1.92,0.14
14.07,2,2,14.5,0.65,0.86,1.92,0.054
14.07,4,16,12,0.65,0.24,2.31,2.687
14.07,3,13,12,0.65,0.24,2.31,0.65
14.07,2,10,12,0.65,0.24,2.31,0.199
14.07,2,6,12,0.65,0.24,2.31,0.109
14.07,1,3,12,0.65,0.24,2.31,0.037
14.07,4,16,14.5,0.65,0.27,2.31,3.127
14.07,3,13,14.5,0.65,0.27,2.31,0.615
14.07,2,10,14.5,0.65,0.27,2.31,0.134
14.07,2,6,14.5,0.65,0.27,2.31,0.142
14.07,1,3,14.5,0.65,0.27,2.31,0
14.07,16,4,12,0.65,1.04,1.7,10.53
14.07,13,3,12,0.65,1.04,1.7,7.492
14.07,10,2,12,0.65,1.04,1.7,0.656
14.07,6,2,12,0.65,1.04,1.7,0.24
14.07,3,1,12,0.65,1.04,1.7,0
14.07,16,4,14.5,0.65,1.18,1.7,10.56
14.07,13,3,14.5,0.65,1.18,1.7,9.61
14.07,10,2,14.5,0.65,1.18,1.7,1.323
14.07,6,2,14.5,0.65,1.18,1.7,0.176
14.07,3,1,14.5,0.65,1.18,1.7,0.04
88.46,25,0,12,0.45,0.93,1.49,5.012
88.46,30,0,12,0.45,0.93,1.49,6.644
88.46,35,0,12,0.45,0.93,1.49,7.278
